DATA TIME LATTITUDE LONGITUDE
01/01/16 10:00 12.956399 79.137251
01/01/16 10:55 12.911511 79.139804
01/01/16 10:00 12.956399 79.137251
02/01/16 10:55 12.911511 79.139804
02/01/16 10:15 12.956399 79.137251
24/01/16 10:30 12.970874 79.163555
02/02/16 10:55 12.911511 79.139804
02/02/16 11:20 12.956399 79.137251
02/02/16 12:00 12.916980 79.131228
03/02/16 12:20 12.885884 79.140073
03/02/16 12:50 12.956399 79.137251
03/02/16 10:00 12.956399 79.137251
02/03/16 10:55 12.911511 79.139804
02/03/16 10:15 12.956399 79.137251
02/03/16 10:30 12.970874 79.163555
02/03/16 10:55 12.911511 79.139804
23/04/16 10:00 12.956399 79.137251
23/04/16 10:55 12.911511 79.139804
24/04/16 10:15 12.956399 79.137251
24/04/16 10:30 12.970874 79.163555
24/04/16 10:55 12.911511 79.139804
24/04/16 11:20 12.956399 79.137251
24/04/16 12:00 12.916980 79.131228
24/04/16 12:20 12.885884 79.140073
24/04/16 12:50 12.956399 79.137251
05/05/16 11:20 12.956399 79.137251
05/05/16 12:00 12.916980 79.131228
24/05/16 12:20 12.885884 79.140073
24/05/16 12:50 12.956399 79.137251
